Severity,City,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Junction,Stop,Traffic_Signal,daytime
3,Reno,Washoe_NV,NV,51.1,80,10,0,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Elwell,Gratiot_MI,MI,33,89,10,12,0,Light Snow,FALSE,FALSE,FALSE,night
2,Clearwater,Pinellas_FL,FL,56,87,10,0,0,Fair,FALSE,FALSE,TRUE,day
3,Dallas,Dallas_TX,TX,39.9,83,5,6.9,0,Haze,FALSE,FALSE,FALSE,day
3,Dallas,Dallas_TX,TX,97,34,10,9,0,Fair,TRUE,FALSE,FALSE,day
2,Minneapolis,Hennepin_MN,MN,32,88,10,3.5,0,Clear,FALSE,FALSE,FALSE,day
2,Powder Springs,Cobb_GA,GA,70.7,45,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Atlanta,DeKalb_GA,GA,35.1,67,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
3,White Plains,Westchester_NY,NY,77,36,10,15,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Fremont,Alameda_CA,CA,64,87,10,3.5,0,Scattered Clouds,FALSE,FALSE,FALSE,twilight
2,Jenkintown,Montgomery_PA,PA,60.1,42,10,11.5,0,Overcast,FALSE,FALSE,FALSE,day
2,San Jose,Santa Clara_CA,CA,77,25,10,13.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Tillman,Jasper_SC,SC,87,69,10,12,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,61,78,10,5,0,Fair,FALSE,TRUE,FALSE,night
3,East Providence,Providence_RI,RI,82.9,60,10,13.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Indianapolis,Marion_IN,IN,75.9,71,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,66.9,33,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Louisville,Jefferson_KY,KY,10,80,8,6.9,0,Overcast,FALSE,FALSE,TRUE,day
2,Kingwood,Montgomery_TX,TX,52,82,7,12,0.01,Light Rain,FALSE,FALSE,TRUE,day
2,Minneapolis,Hennepin_MN,MN,72,91,6,8.1,0.02,Light Rain,TRUE,FALSE,FALSE,day
2,Orlando,Orange_FL,FL,45,82,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
4,Pittsburgh,Allegheny_PA,PA,72,57,10,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Ft Mitchell,Kenton_KY,KY,44,89,3,7,0,Cloudy,FALSE,FALSE,FALSE,day
3,Bronx,Bronx_NY,NY,79,69,10,10,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,48.9,35,10,5.8,0,Scattered Clouds,FALSE,FALSE,FALSE,night
2,Jacksonville,Duval_FL,FL,76,87,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
3,Madison,Davidson_TN,TN,82,52,10,13.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Omaha,Douglas_NE,NE,65.1,62,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Castella,Shasta_CA,CA,44,89,10,0,0.02,Cloudy,TRUE,FALSE,FALSE,day
3,Oklahoma City,Oklahoma_OK,OK,57.9,93,10,13.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,87.8,62,6,3.5,0,Haze,FALSE,FALSE,TRUE,day
2,Parsippany,Morris_NJ,NJ,44.6,71,10,6.9,0,Partly Cloudy,FALSE,FALSE,FALSE,night
2,Glen Ellyn,Dupage_IL,IL,81,49,9,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Atlanta,Clayton_GA,GA,37,46,10,12.7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Cary,Wake_NC,NC,79,66,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,West Palm Beach,Palm Beach_FL,FL,76,94,10,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Stockbridge,Henry_GA,GA,66.9,44,10,9.2,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,36,82,6,13,0.02,Light Snow,FALSE,FALSE,FALSE,night
2,Wellsville,York_PA,PA,64.9,75,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Richmond,Stearns_MN,MN,53,99,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Lutz,Hillsborough_FL,FL,87.8,38,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Charlotte,Mecklenburg_NC,NC,90,50,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Woodland,Yolo_CA,CA,42.1,79,10,0,0,Clear,FALSE,TRUE,FALSE,twilight
2,San Diego,San Diego_CA,CA,68,73,10,3.5,0,Mostly Cloudy,TRUE,FALSE,FALSE,twilight
2,San Jose,Santa Clara_CA,CA,78.8,26,10,11.5,0,Clear,TRUE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,51.8,100,0.2,5.8,0,Fog,FALSE,FALSE,TRUE,day
3,Fort Lauderdale,Broward_FL,FL,89,63,10,12,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Piedmont,Calhoun_AL,AL,90,54,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
3,Sacramento,Sacramento_CA,CA,57.2,67,2,8.1,0,Light Rain,FALSE,FALSE,FALSE,day
2,Cranston,Providence_RI,RI,37,39,10,17.3,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Hudson,Columbia_NY,NY,54,57,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
2,Baldwin Park,Los Angeles_CA,CA,69,38,6,5,0,Haze,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,55,100,2,0,0,Rain,FALSE,FALSE,TRUE,day
2,Apex,Wake_NC,NC,71.6,44,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Dumfries,Prince William_VA,VA,37,70,10,13.8,0,Mostly Cloudy,TRUE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,43,62,10,13,0,Partly Cloudy,FALSE,FALSE,TRUE,day
3,Olympia,Thurston_WA,WA,53,84,10,7,0,Cloudy,FALSE,FALSE,FALSE,day
2,Los Angeles,Los Angeles_CA,CA,68,65,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Tucson,Pima_AZ,AZ,92.8,29,10,1.2,0,Clear,FALSE,FALSE,FALSE,day
2,Menlo Park,San Mateo_CA,CA,54,72,10,0,0,Partly Cloudy,TRUE,FALSE,FALSE,day
2,Fresno,Fresno_CA,CA,84.9,37,6,6.9,0,Haze,FALSE,FALSE,FALSE,day
2,Bronx,Bronx_NY,NY,86,44,10,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Wells,Faribault_MN,MN,57.2,94,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,night
2,Omaha,Douglas_NE,NE,37.4,81,10,15,0,Overcast,FALSE,FALSE,FALSE,day
2,Phoenix,Maricopa_AZ,AZ,88,11,10,6.9,0,Scattered Clouds,TRUE,FALSE,FALSE,day
2,Forest Hills,Queens_NY,NY,61,60,10,23,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Nashville,Davidson_TN,TN,63,84,6,12.7,0.17,Light Rain,FALSE,FALSE,FALSE,night
2,Alexandria,Douglas_MN,MN,10.9,73,10,0,0,Clear,TRUE,FALSE,FALSE,night
2,Houston,Harris_TX,TX,80,74,9,20,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Jackson,Hinds_MS,MS,76,85,7,0,0,Thunder,TRUE,FALSE,FALSE,day
2,Riverside,Riverside_CA,CA,90,29,10,16,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Virginia Beach,Virginia Beach_VA,VA,80,79,10,14,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Salida,Stanislaus_CA,CA,70,42,10,11.5,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Chattahoochee,Gadsden_FL,FL,84.2,62,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Rochester,Monroe_NY,NY,24.1,77,9,15,0,Light Snow,FALSE,FALSE,FALSE,twilight
2,Oklahoma City,Oklahoma_OK,OK,72,38,10,8,0,Fair,FALSE,FALSE,FALSE,day
4,Pasco,Franklin_WA,WA,89.1,22,10,11.5,0,Clear,TRUE,FALSE,FALSE,day
2,Salt Lake City,Salt Lake_UT,UT,46.9,34,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Alexandria,Alexandria_VA,VA,76,74,10,6,0,Fair,FALSE,FALSE,FALSE,day
2,Myrtle Beach,Horry_SC,SC,45,71,10,0,0,Clear,FALSE,FALSE,TRUE,day
2,North Wales,Montgomery_PA,PA,48.2,62,10,6.9,0,Overcast,FALSE,FALSE,FALSE,day
3,Boardman,Morrow_OR,OR,33.1,85,10,5.8,0,Overcast,TRUE,FALSE,FALSE,night
3,Canajoharie,Montgomery_NY,NY,75,34,15,9,0,Fair,FALSE,FALSE,FALSE,day
2,Las Vegas,Clark_NV,NV,39,50,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Evansville,Vanderburgh_IN,IN,41,65,10,10.4,0,Overcast,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,50,100,2,6.9,0,Overcast,FALSE,FALSE,TRUE,twilight
3,Saint Paul,Ramsey_MN,MN,70,59,4,10.4,0,Haze,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,78.1,84,10,23,0.01,Overcast,TRUE,FALSE,FALSE,night
3,Colfax,Placer_CA,CA,64.4,59,10,4.6,0,Scattered Clouds,TRUE,FALSE,FALSE,day
3,Salt Lake City,Salt Lake_UT,UT,61,32,10,12.7,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Hinsdale,DuPage_IL,IL,42.1,43,10,18.4,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Upper Marlboro,Prince George's_MD,MD,71.4,53,10,0,0,Clear,TRUE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,60.1,83,10,3.5,0,Clear,FALSE,FALSE,TRUE,night
2,Selinsgrove,Snyder_PA,PA,38,29,10,7,0,Fair,FALSE,FALSE,TRUE,day
4,Watervliet,Albany_NY,NY,82,56,10,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Villa Park,DuPage_IL,IL,57,51,10,17.3,0,Partly Cloudy,FALSE,FALSE,TRUE,day
2,Boron,San Bernardino_CA,CA,23,82,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,South Jordan,Salt Lake_UT,UT,43.9,40,10,0,0,Scattered Clouds,FALSE,FALSE,TRUE,day
2,Austin,Travis_TX,TX,28,80,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Morristown,Maricopa_AZ,AZ,75,31,10,7,0,Partly Cloudy,FALSE,TRUE,FALSE,twilight
2,Houston,Harris_TX,TX,66.9,79,10,12.7,0,Overcast,FALSE,FALSE,TRUE,day
2,Houston,Harris_TX,TX,82,71,10,4.6,0,Clear,FALSE,FALSE,TRUE,day
2,Klamath Falls,Klamath_OR,OR,31,76,10,0,0,Fair,FALSE,FALSE,FALSE,twilight
3,Renton,King_WA,WA,68,56,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
2,Temecula,Riverside_CA,CA,68,60,10,6.9,0,Clear,FALSE,FALSE,FALSE,twilight
3,Cincinnati,Hamilton_OH,OH,61,93,10,3,0,Fair,FALSE,FALSE,FALSE,day
2,Bethesda,Montgomery_MD,MD,48.2,43,10,5.8,0,Clear,FALSE,FALSE,TRUE,day
2,Hollister,Santa Clara_CA,CA,55.4,94,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,73,93,10,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
3,Hollywood,Broward_FL,FL,84.9,77,10,17.3,0,Scattered Clouds,FALSE,FALSE,TRUE,day
3,Pomona,Los Angeles_CA,CA,71.6,50,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Columbus,Bartholomew_IN,IN,78.8,65,10,4.6,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Garden Grove,Orange_CA,CA,73.9,79,10,12.7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,New Castle,New Castle_DE,DE,46.9,68,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,San Diego,San Diego_CA,CA,78.1,66,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Miami,Miami-Dade_FL,FL,64,90,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Augusta,Richmond_GA,GA,86,55,10,3,0,Fair,FALSE,FALSE,TRUE,day
2,Grayslake,Lake_IL,IL,61,58,10,16.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Jasper,Walker_AL,AL,79,83,10,0,0,Fair,FALSE,FALSE,FALSE,day
3,Pittsburgh,Allegheny_PA,PA,69.1,93,1,5.8,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Del Valle,Travis_TX,TX,50,93,4,13.8,0.34,Heavy Rain,FALSE,FALSE,FALSE,day
2,Waterbury,New Haven_CT,CT,57.2,48,10,19.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,55,42,10,13.8,0,Clear,FALSE,FALSE,TRUE,day
3,Hercules,Contra Costa_CA,CA,64.9,78,7,12.7,0,Light Rain,FALSE,FALSE,FALSE,day
2,Central Point,Jackson_OR,OR,37.9,76,8,0,0,Clear,FALSE,FALSE,FALSE,night
2,Petaluma,Sonoma_CA,CA,48.2,87,10,0,0,Clear,FALSE,FALSE,FALSE,day
3,Springfield,Fairfax County_VA,VA,39,62,10,21.9,0,Overcast,TRUE,FALSE,FALSE,day
3,Fellsmere,Indian River_FL,FL,79,79,10,15,0,Mostly Cloudy,FALSE,FALSE,FALSE,twilight
2,Anderson,Anderson_SC,SC,64,48,10,9,0,Fair,FALSE,FALSE,FALSE,day
4,Ardmore,Carter_OK,OK,60.8,82,10,4.6,0,Clear,TRUE,FALSE,FALSE,day
3,Romulus,Wayne_MI,MI,60.1,53,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Burton,Genesee_MI,MI,68,61,10,10,0,Fair,FALSE,FALSE,FALSE,day
3,Greer,Spartanburg_SC,SC,52,80,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
2,Tuscaloosa,Tuscaloosa_AL,AL,78,76,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Port Richey,Pasco_FL,FL,53.1,55,10,0,0,Clear,FALSE,FALSE,FALSE,twilight
2,Culver City,Los Angeles_CA,CA,63,17,10,12.7,0,Clear,FALSE,FALSE,FALSE,twilight
2,Charlotte,Mecklenburg_NC,NC,80.6,54,10,0,0,Clear,FALSE,FALSE,TRUE,twilight
2,Indianapolis,Marion_IN,IN,70,78,10,11.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,twilight
3,Redwood City,San Mateo_CA,CA,41,87,10,3.5,0,Clear,FALSE,FALSE,FALSE,night
3,Dallas,Dallas_TX,TX,80.1,54,10,10.4,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Van Nuys,Los Angeles_CA,CA,60.1,44,10,17.3,0,Clear,FALSE,FALSE,TRUE,day
3,Houston,Harris_TX,TX,76,74,6,9,0,Haze,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,88,63,10,6,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,75,90,10,5.8,0,Overcast,FALSE,FALSE,FALSE,twilight
2,San Antonio,Bexar_TX,TX,75,69,10,10.4,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Chicago,Cook_IL,IL,78,74,10,14,0,Thunder,TRUE,FALSE,FALSE,day
2,Fort Myers,Lee_FL,FL,69.1,15,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Salt Lake City,Salt Lake_UT,UT,86,25,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Roanoke Rapids,Halifax_NC,NC,79,83,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Clearwater,Pinellas_FL,FL,70,81,10,8,0,Partly Cloudy,FALSE,FALSE,TRUE,twilight
2,Seattle,King_WA,WA,39.9,93,10,10.4,0,Overcast,FALSE,TRUE,FALSE,day
2,Detroit,Wayne_MI,MI,14,62,10,17.3,0,Mostly Cloudy,TRUE,FALSE,FALSE,night
3,Columbia,Richland_SC,SC,86,43,10,5,0,Fair,FALSE,FALSE,FALSE,day
2,Madison,Dane_WI,WI,24.4,69,10,8.1,0,Clear,FALSE,FALSE,FALSE,day
2,Aurora,Arapahoe_CO,CO,63.5,61,10,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
3,Phoenix,Maricopa_AZ,AZ,71.6,35,10,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
4,Paoli,Orange_IN,IN,48,44,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
3,La Grange,Cook_IL,IL,66,63,10,0,0,Overcast,FALSE,FALSE,FALSE,day
2,Grand Rapids,Kent_MI,MI,39,93,4,6.9,0,Overcast,FALSE,FALSE,FALSE,twilight
2,Tucson,Pima_AZ,AZ,71.1,24,10,3.5,0,Clear,FALSE,FALSE,TRUE,twilight
2,Bronx,Bronx_NY,NY,72,87,7,3.5,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Blue Springs,Jackson_MO,MO,72,48,10,10,0,Fair,TRUE,FALSE,FALSE,day
2,Fairdale,Jefferson_KY,KY,43,62,10,9.2,0,Overcast,FALSE,FALSE,FALSE,day
2,Portage,Columbia_WI,WI,21.6,95,4,9.2,0,Clear,FALSE,FALSE,FALSE,day
3,Ontario,San Bernardino_CA,CA,64.9,75,10,15,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Miami,Miami-Dade_FL,FL,91.4,59,10,10.4,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Greenville,Greenville_SC,SC,50,33,10,15,0,Clear,FALSE,FALSE,FALSE,day
2,Reno,Washoe_NV,NV,70,46,10,9.2,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
3,Los Angeles,Los Angeles_CA,CA,66.9,76,10,3.5,0,Clear,FALSE,FALSE,FALSE,twilight
2,South El Monte,Los Angeles_CA,CA,68,21,10,3.5,0,Clear,FALSE,FALSE,TRUE,twilight
2,Tucson,Pima_AZ,AZ,39.4,99,10,5.8,0,Clear,FALSE,FALSE,TRUE,twilight
2,Indianapolis,Marion_IN,IN,67,87,10,8,0.01,Light Rain,FALSE,FALSE,FALSE,day
2,Saint Cloud,Osceola_FL,FL,73.9,73,10,4.6,0,Clear,FALSE,FALSE,FALSE,day
3,Baraboo,Sauk_WI,WI,32,96,4,0,0,Overcast,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,80.1,76,10,8.1,0,Scattered Clouds,FALSE,FALSE,FALSE,day
2,Worcester,Worcester_MA,MA,32,79,10,3.5,0,Overcast,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,88,37,10,0,0,Clear,FALSE,FALSE,TRUE,day
3,Los Angeles,Los Angeles_CA,CA,84,53,10,10.4,0,Clear,FALSE,FALSE,FALSE,day
3,Houston,Harris_TX,TX,66.9,97,0.2,10.4,0,Overcast,FALSE,FALSE,TRUE,day
2,Santa Clarita,Los Angeles_CA,CA,80,29,10,0,0,Fair,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,78.8,61,10,12.7,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Scottsdale,Maricopa_AZ,AZ,71.1,35,10,8.1,0,Mostly Cloudy,FALSE,FALSE,TRUE,day
2,Omaha,Douglas_NE,NE,48,52,10,13.8,0,Clear,FALSE,FALSE,FALSE,day
2,Flint,Genesee_MI,MI,30,66,10,12.7,0.03,Overcast,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,71.1,49,10,0,0,Scattered Clouds,FALSE,FALSE,FALSE,day
3,Chattanooga,Hamilton_TN,TN,55.9,93,1,4.6,0.27,Light Rain,FALSE,FALSE,FALSE,day
2,Berwyn,Cook_IL,IL,59,81,10,3,0,Fair,FALSE,FALSE,FALSE,day
3,Easley,Pickens_SC,SC,55.4,77,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
2,Charlotte,Mecklenburg_NC,NC,68,84,10,3.5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,El Paso,El Paso_TX,TX,93,21,10,5.8,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Cincinnati,Hamilton_OH,OH,64,93,10,0,0,Fair,FALSE,FALSE,TRUE,day
2,Osseo,Hennepin_MN,MN,26,75,7,12,0,Fair,TRUE,FALSE,FALSE,day
2,Taylors,Greenville_SC,SC,30.9,67,10,5.8,0,Clear,FALSE,FALSE,FALSE,day
4,Centreville,St. Joseph_MI,MI,22.6,73,2.5,12.7,0,Light Snow,FALSE,FALSE,FALSE,day
2,Johnson City,Washington_TN,TN,73.9,87,10,13.8,0,Overcast,FALSE,FALSE,FALSE,day
2,Price,Carbon_UT,UT,41,53,7,0,0,Fair,FALSE,FALSE,FALSE,day
2,Austin,Travis_TX,TX,93,52,10,8,0,Fair,FALSE,FALSE,TRUE,day
2,Elmore,Elmore_AL,AL,72,67,10,6,0,Partly Cloudy,FALSE,FALSE,FALSE,day
3,Philadelphia,Philadelphia_PA,PA,69,68,10,12,0,Cloudy,FALSE,FALSE,FALSE,day
3,Tampa,Hillsborough_FL,FL,86,74,10,0,0,Clear,FALSE,FALSE,FALSE,day
2,Spring Mills,Centre_PA,PA,48,62,10,8,0,Fair,FALSE,FALSE,FALSE,day
2,Bronx,Bronx_NY,NY,52,71,10,12.7,0,Overcast,FALSE,FALSE,FALSE,day
2,North Salt Lake,Davis_UT,UT,56,80,6,3,0.03,Rain,FALSE,FALSE,FALSE,day
3,Rocky Top,Anderson_TN,TN,78.1,81,10,4.6,0,Overcast,FALSE,FALSE,FALSE,day
3,Montgomery,Montgomery_AL,AL,37,70,10,17,0,Cloudy,FALSE,FALSE,FALSE,day
2,Fullerton,Orange_CA,CA,77,56,10,9.2,0,Clear,FALSE,FALSE,FALSE,day
2,Le Grand,Merced_CA,CA,73.9,35,10,9.2,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,San Antonio,Bexar_TX,TX,41,93,7,11.5,0,Rain,FALSE,FALSE,FALSE,day
2,Pittsburg,Contra Costa_CA,CA,45,76,10,0,0,Cloudy,FALSE,FALSE,FALSE,night
2,Seattle,King_WA,WA,57,83,6,6.9,0,Light Rain,FALSE,FALSE,FALSE,day
2,Houston,Harris_TX,TX,82,76,10,5,0,Partly Cloudy,FALSE,FALSE,FALSE,day
2,Raleigh,Wake_NC,NC,45,52,10,0,0,Mostly Cloudy,FALSE,FALSE,FALSE,day
